"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"to_uti";"ia_cat";"iv_cat";"risco"
"Arenapolis";5101308;"TRANSMISSAO LOCAL";"2";"12";"0";0,28369310421739;0,81620926947242;1,78964733004692;1,04857195691631;;;0,8;"Muito baixo";"Alto";"Alto"
"Aripuana";5101407;"TRANSMISSAO LOCAL";"8";"40";"2";0,883079078346559;1,57697099495378;2,56485189046891;0,945058984016039;-0,411038961038961;-0,411038961038961;0,8;"Baixo";"Alto";"Alto"
"Barao de Melgaco";5101605;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Barra do Bugres";5101704;"CASOS ISOLADOS";"3";"6";"1";0,592593484875868;1,52600451783719;3,14028594180326;1,43515724270918;;;0,8;"Baixo";"Alto";"Alto"
"Barra do Garcas";5101803;"TRANSMISSAO COMUNITARIA";"58";"67";"8";1,00935861516713;1,43533313901991;1,96713002355044;1,28482490214263;0,31827362523957;0,31827362523957;0,8;"Moderado";"Alto";"Alto"
"Bom Jesus do Araguaia";5101852;"TRANSMISSAO LOCAL";"6";"13";"0";0,214371605529436;0,616765402273339;1,35234013717739;1,19560097930022;3,9484126984127;3,9484126984127;0,8;"Baixo";"Alto";"Alto"
"Brasnorte";5101902;"CASOS ISOLADOS";"1";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Caceres";5102504;"TRANSMISSAO COMUNITARIA";"59";"37";"6";1,33401092712108;1,79093974107549;2,34197896657623;1,44446104401438;1,13954081632653;1,13954081632653;0,8;"Alto";"Alto";"Muito alto"
"Campinapolis";5102603;"CASOS ISOLADOS";"5";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Campo Novo do Parecis";5102637;"TRANSMISSAO LOCAL";"27";"67";"1";0,808291595808002;1,12198971605589;1,50799983311713;1,39337297333404;1,36909994767138;1,36909994767138;0,8;"Baixo";"Alto";"Alto"
"Campo Verde";5102678;"TRANSMISSAO COMUNITARIA";"83";"90";"1";-999;-999;-999;-999;0,263514100103473;0,263514100103473;0,8;"Moderado";"Alto";"Alto"
"Campos de Julio";5102686;"TRANSMISSAO LOCAL";"28";"21";"2";1,32186999021012;1,85158662395745;2,50696220916948;1,86390543335389;2,16814058956916;2,16814058956916;0,8;"Moderado";"Alto";"Alto"
"Canabrava do Norte";5102694;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Canarana";5102702;"TRANSMISSAO LOCAL";"24";"16";"1";1,29501929651578;2,11334524002362;3,22052817662955;1,35663364029155;0,909070294784581;0,909070294784581;0,8;"Moderado";"Alto";"Alto"
"Carlinda";5102793;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Castanheira";5102850;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Chapada Dos Guimaraes";5103007;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Claudia";5103056;"CASOS ISOLADOS";"7";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Cocalinho";5103106;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Colider";5103205;"TRANSMISSAO LOCAL";"29";"26";"2";1,11765998431919;1,56554297504626;2,11967240662132;1,64115869475274;2,29675324675325;2,29675324675325;0,8;"Moderado";"Alto";"Alto"
"Colniza";5103254;"CASOS ISOLADOS";"2";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Comodoro";5103304;"TRANSMISSAO LOCAL";"7";"9";"1";0,980733556248585;1,90542202691069;3,28455883193255;2,3488700890102;;;0,8;"Baixo";"Alto";"Alto"
"Confresa";5103353;"TRANSMISSAO COMUNITARIA";"101";"152";"5";0,929069951775657;1,18191060853058;1,47694564119564;1,02817831455685;-0,0342579888016827;-0,0342579888016827;0,8;"Moderado";"Alto";"Alto"
"Conquista D'Oeste";5103361;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Cotriguacu";5103379;"CASOS ISOLADOS";"2";"5";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Cuiaba";5103403;"TRANSMISSAO COMUNITARIA";"1676";"406";"77";1,11272323157351;1,19960752143229;1,29090117862416;1,17816346733355;0,365307403786157;0,365307403786157;0,8;"Moderado";"Alto";"Alto"
"Curvelandia";5103437;"CASOS ISOLADOS";"4";"3";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Denise";5103452;"CASOS ISOLADOS";"1";"3";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Diamantino";5103502;"CASOS ISOLADOS";"9";"4";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Dom Aquino";5103601;"CASOS ISOLADOS";"6";"6";"1";-999;-999;-999;-999;1,94285714285714;1,94285714285714;0,8;"Baixo";"Alto";"Alto"
"Feliz Natal";5103700;"CASOS ISOLADOS";"17";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Figueiropolis D'Oeste";5103809;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Gaucha do Norte";5103858;"CASOS ISOLADOS";"3";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"General Carneiro";5103908;"CASOS ISOLADOS";"9";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Gloria D'Oeste";5103957;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Guaranta do Norte";5104104;"TRANSMISSAO COMUNITARIA";"42";"27";"1";0,928300898375779;1,42877039429754;2,08339321081134;0,937865274080515;-0,147072922226936;-0,147072922226936;0,8;"Moderado";"Alto";"Alto"
"Guiratinga";5104203;"CASOS ISOLADOS";"10";"2";"0";0,416826374125679;1,07338157827152;2,20885655385476;1,356012709742;;;0,8;;"Alto";
"Indiavai";5104500;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Ipiranga do Norte";5104526;"CASOS ISOLADOS";"7";"5";"0";13,3903755332421;29,7333873905452;55,9161619337985;6,17065429567811;0;0;0,8;"Baixo";"Alto";"Alto"
"Itanhanga";5104542;"CASOS ISOLADOS";"1";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Itauba";5104559;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Itiquira";5104609;"TRANSMISSAO LOCAL";"4";"5";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Jaciara";5104807;"TRANSMISSAO LOCAL";"23";"52";"0";-999;-999;-999;-999;0,888744588744589;0,888744588744589;0,8;"Baixo";"Alto";"Alto"
"Jangada";5104906;"TRANSMISSAO LOCAL";"9";"9";"1";14,0471543982963;28,3226106645938;50,0465941666394;5,28256559207132;-0,714285714285714;-0,714285714285714;0,8;"Baixo";"Alto";"Alto"
"Jauru";5105002;"CASOS ISOLADOS";"0";"1";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Juara";5105101;"TRANSMISSAO LOCAL";"5";"5";"1";-999;-999;-999;-999;;;0,8;"Muito baixo";"Alto";"Alto"
"Juina";5105150;"TRANSMISSAO LOCAL";"7";"11";"2";0,557393943990937;1,43536116824408;2,95375567068151;1,19378015661234;;;0,8;"Baixo";"Alto";"Alto"
"Juruena";5105176;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Juscimeira";5105200;"TRANSMISSAO LOCAL";"6";"9";"0";-999;-999;-999;-999;1,16428571428571;1,16428571428571;0,8;"Baixo";"Alto";"Alto"
"Lambari D'Oeste";5105234;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Lucas do Rio Verde";5105259;"TRANSMISSAO COMUNITARIA";"174";"65";"6";1,4891006206349;1,83618385639746;2,23343393031871;1,17533384052615;0,380310777657259;0,380310777657259;0,8;"Moderado";"Alto";"Alto"
"Luciara";5105309;"CASOS ISOLADOS";"0";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Marcelandia";5105580;"TRANSMISSAO LOCAL";"17";"11";"0";-999;-999;-999;-999;;;0,8;"Muito baixo";"Alto";"Alto"
"Matupa";5105606;"TRANSMISSAO LOCAL";"39";"11";"0";3,26543860230434;5,07677093208561;7,45993762762761;1,20356683235452;-0,421938775510204;-0,421938775510204;0,8;"Baixo";"Alto";"Alto"
"Mirassol D'Oeste";5105622;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nobres";5105903;"CASOS ISOLADOS";"11";"4";"0";0,974781663974796;1,89385836971959;3,26462544614186;2,14341979058489;3,57142857142857;3,57142857142857;0,8;"Moderado";"Alto";"Alto"
"Nortelandia";5106000;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nossa Senhora de Livramento";5106109;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Bandeirantes";5106158;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Brasilandia";5106208;"CASOS ISOLADOS";"0";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Canaa do Norte";5106216;"CASOS ISOLADOS";"2";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Guarita";5108808;"CASOS ISOLADOS";"1";"4";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Lacerda";5106182;"CASOS ISOLADOS";"3";"4";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Marilandia";5108857;"CASOS ISOLADOS";"4";"3";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Maringa";5108907;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Monte Verde";5108956;"CASOS ISOLADOS";"0";"3";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Mutum";5106224;"TRANSMISSAO COMUNITARIA";"111";"88";"5";1,23054059645895;1,49544768638142;1,7959029455451;1,41479884449626;1,25097556600204;1,25097556600204;0,8;"Moderado";"Alto";"Alto"
"Nova Nazare";5106174;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Olimpia";5106232;"CASOS ISOLADOS";"6";"4";"0";0,510737585649537;1,46943561714378;3,22193293712168;1,65747273020362;0,428571428571429;0,428571428571429;0,8;"Moderado";"Alto";"Alto"
"Nova Santa Helena";5106190;"CASOS ISOLADOS";"3";"2";"2";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Nova Ubirata";5106240;"TRANSMISSAO LOCAL";"19";"16";"0";1,51375450976872;2,77040168845017;4,58406698685345;1,34534787451863;1,28571428571429;1,28571428571429;0,8;"Moderado";"Alto";"Alto"
"Nova Xavantina";5106257;"CASOS ISOLADOS";"1";"0";"2";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Novo Horizonte do Norte";5106273;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Novo Mundo";5106265;"TRANSMISSAO LOCAL";"4";"16";"0";0,407210246098141;1,17157862686278;2,56884188887033;1,35245019217286;0,357142857142857;0,357142857142857;0,8;"Baixo";"Alto";"Alto"
"Novo Santo Antonio";5106315;"TRANSMISSAO LOCAL";"1";"13";"0";0,330412685396449;0,950625491288641;2,08437276564983;1,16537170241108;;;0,8;"Muito baixo";"Alto";"Alto"
"Novo Sao Joaquim";5106281;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Paranaita";5106299;"CASOS ISOLADOS";"3";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Paranatinga";5106307;"TRANSMISSAO LOCAL";"22";"2";"0";0,243845744477168;0,701565015169191;1,53827456169841;0,71437069594853;;;0,8;"Muito baixo";"Alto";"Alto"
"Pedra Preta";5106372;"TRANSMISSAO LOCAL";"37";"10";"1";0,779573209647114;1,27218747727562;1,93868731853562;1,04577969427458;-0,129408350955666;-0,129408350955666;0,8;"Baixo";"Alto";"Alto"
"Peixoto de Azevedo";5106422;"TRANSMISSAO COMUNITARIA";"40";"35";"1";2,2346435537867;3,11570850910443;4,20276411086783;1,73602735804648;1,29285714285714;1,29285714285714;0,8;"Alto";"Alto";"Muito alto"
"Planalto da Serra";5106455;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Pocone";5106505;"CASOS ISOLADOS";"32";"6";"3";1,39809519459694;2,07900976464335;2,95188584821189;1,72232709032887;5,30238095238095;5,30238095238095;0,8;"Moderado";"Alto";"Alto"
"Pontal do Araguaia";5106653;"TRANSMISSAO LOCAL";"12";"5";"0";2,61164996726465;5,50138846251936;10,003450874753;2,26875120383941;0,571428571428571;0,571428571428571;0,8;"Moderado";"Alto";"Alto"
"Ponte Branca";5106703;"CASOS ISOLADOS";"0";"0";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Pontes E Lacerda";5106752;"TRANSMISSAO COMUNITARIA";"0";"0";"0";;;;;;;0,8;"Moderado";"Alto";"Alto"
"Porto Alegre do Norte";5106778;"CASOS ISOLADOS";"6";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Porto Dos Gauchos";5106802;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Porto Esperidiao";5106828;"TRANSMISSAO LOCAL";"56";"10";"2";0,845293753489709;1,1785722765395;1,58977043309091;1,6345512549986;;;0,8;"Baixo";"Alto";"Alto"
"Porto Estrela";5106851;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Poxoreu";5107008;"CASOS ISOLADOS";"8";"4";"0";-999;-999;-999;-999;2,28571428571429;2,28571428571429;0,8;"Baixo";"Alto";"Alto"
"Primavera do Leste";5107040;"TRANSMISSAO COMUNITARIA";"171";"158";"5";1,14261307790844;1,37109989384685;1,62819578775835;1,25688640609034;0,412521812350138;0,412521812350138;0,8;"Moderado";"Alto";"Alto"
"Querencia";5107065;"TRANSMISSAO LOCAL";"53";"27";"3";0,671971842576665;0,991859704257447;1,40014222259666;1,27354624048422;1,47640255707026;1,47640255707026;0,8;"Baixo";"Alto";"Alto"
"Reserva do Cabacal";5107156;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Ribeirao Cascalheira";5107180;"CASOS ISOLADOS";"10";"7";"0";0,177263733354501;0,597251012095199;1,42597388015903;1,15186383256955;0,976190476190476;0,976190476190476;0,8;"Baixo";"Alto";"Alto"
"Ribeiraozinho";5107198;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Rio Branco";5107206;"CASOS ISOLADOS";"1";"3";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Rondolandia";5107578;"CASOS ISOLADOS";"0";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Rondonopolis";5107602;"TRANSMISSAO COMUNITARIA";"578";"93";"21";1,33620153617762;1,49904476550943;1,67461110577937;1,36889571681886;0,900039509534865;0,900039509534865;0,8;"Moderado";"Alto";"Alto"
"Rosario Oeste";5107701;"TRANSMISSAO LOCAL";"13";"45";"2";0,735111089242578;1,42821345588188;2,46194861513565;1,38481520705508;2,38095238095238;2,38095238095238;0,8;"Moderado";"Alto";"Alto"
"Salto do Ceu";5107750;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santa Carmem";5107248;"CASOS ISOLADOS";"13";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santa Cruz do Xingu";5107743;"CASOS ISOLADOS";"5";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santa Rita do Trivelato";5107768;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santa Terezinha";5107776;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santo Afonso";5107263;"CASOS ISOLADOS";"3";"1";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santo Antonio de Leverger";5107800;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Santo Antonio do Leste";5107792;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sao Felix do Araguaia";5107859;"CASOS ISOLADOS";"7";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sao Jose do Povo";5107297;"CASOS ISOLADOS";"2";"9";"0";0,564272935892039;1,62346138817169;3,55965491626152;1,1358752133632;0,380952380952381;0,380952380952381;0,8;"Baixo";"Alto";"Alto"
"Sao Jose do Rio Claro";5107305;"CASOS ISOLADOS";"7";"0";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sao Jose do Xingu";5107354;"CASOS ISOLADOS";"2";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sao Jose Dos Quatro Marcos";5107107;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sao Pedro da Cipa";5107404;"TRANSMISSAO LOCAL";"0";"7";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sapezal";5107875;"TRANSMISSAO LOCAL";"18";"56";"1";1,14223531558825;1,68598907056514;2,37999837517547;1,1117267041221;-0,0494864612511672;-0,0494864612511672;0,8;"Baixo";"Alto";"Alto"
"Serra Nova Dourada";5107883;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Sinop";5107909;"TRANSMISSAO COMUNITARIA";"123";"91";"16";1,32778998604728;1,62647705878235;1,96692821228384;1,26704856219482;0,466333506020024;0,466333506020024;0,8;"Moderado";"Alto";"Alto"
"Sorriso";5107925;"TRANSMISSAO COMUNITARIA";"175";"152";"4";1,67262730938957;1,94385721418654;2,24293926431452;1,50447273274952;1,57322006520354;1,57322006520354;0,8;"Alto";"Alto";"Muito alto"
"Tabapora";5107941;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Tangara da Serra";5107958;"TRANSMISSAO COMUNITARIA";"73";"217";"3";1,06908675296107;1,30957839403179;1,58369690830246;1,23718073151989;0,344252312177475;0,344252312177475;0,8;"Moderado";"Alto";"Alto"
"Tapurah";5108006;"TRANSMISSAO LOCAL";"35";"21";"0";0,82901941728153;1,37298643686143;2,1151960989485;1,01571758813391;-0,283346046275108;-0,283346046275108;0,8;"Baixo";"Alto";"Alto"
"Terra Nova do Norte";5108055;"CASOS ISOLADOS";"6";"2";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Tesouro";5108105;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Torixoreu";5108204;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Uniao do Sul";5108303;"CASOS ISOLADOS";"0";"1";"0";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Vale de Sao Domingos";5108352;"CASOS ISOLADOS";"4";"1";"1";;;;;;;0,8;"Muito baixo";"Alto";"Alto"
"Varzea Grande";5108402;"TRANSMISSAO COMUNITARIA";"453";"154";"61";1,13641274307331;1,29622232032501;1,4703568127062;1,24987980215334;0,434717956453616;0,434717956453616;0,8;"Moderado";"Alto";"Alto"
"Vera";5108501;"CASOS ISOLADOS";"9";"3";"1";0,8303108551917;1,84370888260012;3,46725124467429;1,55908024102614;;;0,8;"Baixo";"Alto";"Alto"
"Vila Bela da Santissima Trindade";5105507;"TRANSMISSAO LOCAL";"36";"2";"1";2,28907886764497;3,6852438213043;5,55959685742682;1,18948684799915;-0,252328623757195;-0,252328623757195;0,8;"Baixo";"Alto";"Alto"
"Vila Rica";5108600;"TRANSMISSAO LOCAL";"28";"16";"1";0,590504327380854;1,11122255831268;1,874395311724;1,02230313904878;-0,186813186813187;-0,186813186813187;0,8;;"Alto";
